MapSize,MapID,Average,Values
5,0,
,", 0.003316671, 0.00249438, 0.001628983, 2.92297E-4, 0.001173705, 3.29656E-4, 2.74644E-4, 3.37866E-4, 2.53297E-4, 2.73823E-4"10,0,
,", 7.76312E-4, 6.511E-4, 9.72956E-4, 9.12198E-4, 0.001191768, 5.99784E-4, 0.001560014, 0.001445065, 5.81721E-4, 6.6588E-4"15,0,
,", 0.001257043, 9.95945E-4, 9.3724E-4, 9.28619E-4, 7.76312E-4, 6.43711E-4, 8.73197E-4, 0.001950838, 0.00137117, 9.47503E-4"20,0,
,", 0.0011774, 0.001028788, 0.001748858, 0.001545235, 0.001543182, 0.001514445, 0.001517729, 5.67763E-4, 4.62256E-4, 4.81962E-4"40,0,
,", 0.003067069, 9.5284E-4, 8.92903E-4, 8.82229E-4, 9.07272E-4, 9.07682E-4, 0.001271411, 0.001556729, 0.001404834, 0.001371169"50,0,
,", 0.001205726, 0.006164928, 0.002235746, 0.004449734, 0.002431979, 0.0023626, 0.002311694, 0.002112998, 0.002298558, 0.002298968"75,0,
,", 0.018828955, 0.005119718, 0.00467963, 0.004065478, 0.002822803, 0.003042437, 0.003035459, 0.002810487, 0.002949657, 0.003065837"100,0,
,", 0.005683376, 0.005042129, 0.005276952, 0.004649251, 0.003068712, 0.002993174, 0.002946784, 0.002960331, 0.007009388, 0.004331501"150,0,
,", 0.014527012, 0.009556315, 0.016396975, 0.019544509, 0.010943086, 0.004984654, 0.004670599, 0.004583566, 0.004555651, 0.004596704"200,0,
,", 0.009002101, 0.009248829, 0.00902468, 0.008344431, 0.00911746, 0.009123206, 0.009796065, 0.009546463, 0.009021395, 0.009207775"250,0,
,", 0.014983521, 0.014803709, 0.020566729, 0.01588094, 0.015222861, 0.015481905, 0.016832548, 0.020225578, 0.017755009, 0.015352177"300,0,
,", 0.020902131, 0.020582329, 0.023399385, 0.020950985, 0.020246515, 0.021165281, 0.021445262, 0.02140421, 0.021083175, 0.021709643"400,0,
,", 0.03734796, 0.037127916, 0.036219003, 0.039445357, 0.042761619, 0.040927371, 0.044568771, 0.037466603, 0.038014251, 0.036926757"500,0,
,", 0.058949224, 0.058957845, 0.059930391, 0.05778373, 0.058362987, 0.057416305, 0.058161828, 0.058555526, 0.066160182, 0.056993459"750,0,
,", 0.136323853, 0.13029481, 0.140967767, 0.135360749, 0.147641341, 0.133669776, 0.136462612, 0.132217732, 0.132075689, 0.142252315"